RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT
88;INDONESIE;DJAKARTA;8;6S;107E;7,00 
89;IRAK;BAGDAD;2;31N;48E;3,00 
90;IRAN;TEHERAN;1590;33N;52E;3,30 
91;IRLANDE;DUBLIN;81;53N;6W;0,00 
92;ISLANDE;REYKJAVIK;49;64N;23W;0,00 
93;ISRAEL;JERUSALEM;810;32N;35E;2,00 
94;ITALIE;ROME;5;42N;12E;1,00 
95;JAMAIQUE;KINGSTON;12;18N;77W;-5,00 
96;JAPON;TOKYO;6;36N;150E;9,00 
97;JORDANIE;AMMAN;771;32N;36E;2,00 
98;KAMPUCHEA;PNOM PENH;11;11N;104E;7,00 
99;KENYA;NAIROBI;1798;1S;37E;3,00 
100;KIRIBATI;TARAWA;2;2N;157W;-11,00 
101;KOWEIT;KOWEIT;11;29N;48E;3,00 
102;LAOS;VIENTIANE;170;18N;103E;7,00 
103;LESOTHO;MASERU;1061;29S;27E;2,00 
104;LIBAN;BEYROUTH;16;34N;35E;2,00 
105;LIBERIA;MONROVIA;23;7N;10W;0,45 
106;LIBYE;TRIPOLI;22;32N;13E;2,00 
107;LIECHTENSTEIN;VADUZ;445;47N;10E;1,00 
108;LUXEMBOURG;LUXEMBOURG;330;50N;6E;1,00 
109;MACAO;MACAO;5;97N;114E;8,00 
110;MADAGASCAR;ANTANANARIVO;1310;19S;48E;3,00 
111;MALAISIE;KUALA LUMPUR;38;3N;102E;7,30 
112;MALAWI;ZOMBA;957;13S;34E;2,00 
113;MALDIVES;MALE;5;2N;73E;5,30 
114;MALI;BAMAKO;332;13N;8E;0,00 
115;MALTE;LA VALETTE;74;36N;14E;1,00 
116;MAN;DOUGLAS;620;54N;5W;0,00 
117;MAROC;RABAT;19;33N;7W;0,00 
118;MARTINIQUE;FORT-DE-FRANCE;146;15N;61W;-5,00 
119;MAURICE;PORT-LOUIS;55;19N;57E;4,00 
120;MAURITANIE;NOUAKCHOTT;5;20N;10N;0,00 
121;MAYOTTE;MAYOTTE;2;;;3,00 
122;MEXIQUE;MEXICO;2237;19N;99W;-6,00 
123;MONACO;MONACO;37;44N;7E;1,00 
124;MONGOLIE;OULAN BATOR;1150;47N;105E;7,00 
125;MONTSERRAT;PLYMOUTH;248;17N;62W;-5,00 
126;MOZAMBIQUE;MAPUTO;59;26S;33E;2,00 
127;NAMIBIE;WINDHOEK;1728;22S;17E;2,00 
128;NAURU;MAKWA;37;1S;167E;12,00 
129;NEPAL;KHATMANDOU;1348;22N;85E;5,30 
130;NICARAGUA;MANAGUA;1338;13N;85W;-6,00 
131;NIGER;NIAMEY;226;13N;2E;1,00 
132;NIGERIA;ABUJA;38;9N;7E;1,00 
133;NIUE;ALOFI;59;19S;170W;-11,00 
134;NORVEGE;OSLO;203;60N;11E;1,00 
135;NOUVELLE-CALEDONIE;NOUMEA;75;22S;166E;11,00 
136;NOUVELLE-ZELANDE;WELLINGTON;119;41S;175E;12,00 
137;OMAN;MASCATE;3;13N;45E;4,00 
138;OUGANDA;KAMPALA;1146;0;32E;3,00 
139;PACIFIQUE;SAIPAN;66;15N;143E;12,00 
140;PAKISTAN;ISLAMABAD;508;34N;73E;4,00 
141;PANAMA;PANAMA;2;8N;80W;-5,00 
142;PAPOUASIE;PORT MORESBY;70;5S;145E;10,00 
143;PARAGUAY;ASUNCION;64;25S;58W;-4,00 
144;PAYS-BAS;LA HAYE;0;57N;4E;0,00 
145;PEROU;LIMA;155;12S;77W;-5,00 
146;PHILIPPINES;MANILLE;15;15N;121E;-5,00 
147;PITCAIRN;ADAMSTOWN;5;25S;130W;-7,30 
148;POLOGNE;VARSOVIE;107;52N;21E;1,00 
149;POLYNESIE FRANCAISE;PAPEETE;2;18S;150W;-10,00 
150;PORTO RICO;SAN JUAN;19;18N;66W;-4,00 
151;PORTUGAL;LISBONNE;110;39N;9W;0,00 
152;QATAR;DOHA;10;25N;51E;4,00 
153;REUNION;ST-DENIS;11;17N;55E;4,00 
154;ROUMANIE;BUCAREST;82;44N;26E;2,00 
155;ROYAUME-UNI;LONDRES;45;52N;0;0,00 
156;RWANDA;KIGALI;1465;2S;30E;2,00 
157;SAINT-MARIN;SAINT-MARIN;738;44N;12E;1,00 
158;SAINT-VINCENT;KINGSTOWN;5;12N;61W;-5,00 
159;SAINTE-HELENE;JAMESTOWN;5;16S;8W;0,00 
160;SAINTE-LUCIE;CASTRIES;2;14N;61W;-5,00 
161;SALOMON;HONIARA;2;10S;155E;11,00 
162;SALVADOR;SAN SALVADOR;689;14N;89W;-6,00 
163;SAMOA;PAGO-PAGO;2;15S;171W;-11,00 
164;SAMOA OCCIDENTALES;APIA;2;12S;172W;-11,00 
165;SAO TOME-ET-PRINCIPE;SAO TOME;5;0;7E;0,00 
166;SENEGAL;DAKAR;23;15N;18W;0,00 
167;SEYCHELLES;PORT VICTORIA;2;5S;55E;3,00 
168;SIERRA LEONE;FREETOWN;8;8N;13W;0,00 
169;SINGAPOUR;SINGAPOUR;10;1N;104E;7,30 
170;SOMALIE;MOGADISCIO;10;2N;45E;3,00 
171;SOUDAN;KHARTOUM;380;16N;33E;2,00 
172;SRI LANKA;COLOMBO;6;7N;80E;5,30 
173;ST-KITTS-ET-NEVIS;BASSETERRE;52;17N;63W;-5,00 
174;ST-PIERRE-ET-MIQUELON;ST-PIERRE;2;47N;56W;-4,00 
175;SUEDE;STOCKHOLM;11;59N;18E;1,00 
176;SUISSE;BERNE;569;47N;9E;1,00 
177;SURINAME;PARAMARIBO;4;6N;55W;-3,30 
178;SWAZILAND;MBABANE;641;26S;32E;2,00 
179;SYRIE;DAMAS;729;33N;36E;2,00 
180;TANZANIE;DAR-ES-SALAM;58;7S;39E;3,00 
181;TCHAD;N'DJAMENA;295;12N;15E;1,00 
182;TCHECOSLOVAQUIE;PRAGUE;374;50N;14E;1,00 
183;THAILANDE;BANGKOK;12;14N;101E;7,00 
184;TOGO;LOME;22;6N;1E;0,00 
185;TOKELAU;NUKUNONU;2;9S;171W;-11,00 
186;TONGA;NUKU ALOFA;67;20S;175W;-11,00 
187;TRINITE-ET-TOBAGO;PORT OF SPAIN;14;11N;61W;-5,00 
188;TUNISIE;TUNIS;4;37N;10E;0,00 
189;TURKS-CAICOS;COCKBURN TOWN;2;22N;71W;-5,00 
190;TURQUIE;ANKARA;894;40N;33E;2,00 
191;TUVALU;FUNAFUTI;3;8S;180;12,00 
192;U.R.S.S.;MOSCOU;156;56N;38E;3,00 
193;URUGUAY;MONTEVIDEO;22;35S;56W;-3,00 
194;VANUATU;VILA;2;17S;167E;11,00 
195;VATICAN;CITE DU VATICAN;50;42N;12E;1,00 
196;VENEZUELA;CARACAS;865;11N;67W;-4,00 
197;VIETNAM;HANOI;17;26N;106E;7,00 
198;WALLIS-ET-FUTUNA;MATA-UTU;2;14S;177W;12,00 
199;YEMEN;SANAA;2242;15N;44W;3,00 
200;YOUGOSLAVIE;BELGRADE;132;45N;20E;1,00 
201;ZAIRE;KINSHASA;309;4S;15E;1,00 
202;ZAMBIE;LUSAKA;1277;15S;29E;2,00 
203;ZIMBABWE;HARARE;1479;18S;31E;2,00 
;;;;  ; ;
