RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT
164;SAMOA OCCIDENTALES;APIA;2;-12;-172;-11.00 
165;SAO TOME-ET-PRINCIPE;SAO TOME;5;0;7;0.00 
166;SENEGAL;DAKAR;23;15;-18;0.00 
167;SEYCHELLES;PORT VICTORIA;2;-5;55;3.00 
168;SIERRA LEONE;FREETOWN;8;8;-13;0.00 
169;SINGAPOUR;SINGAPOUR;10;1;104;7.30 
170;SOMALIE;MOGADISCIO;10;2;45;3.00 
171;SOUDAN;KHARTOUM;380;16;33;2.00 
172;SRI LANKA;COLOMBO;6;7;80;5.30 
173;ST-KITTS-ET-NEVIS;BASSETERRE;52;17;-63;-5.00 
174;ST-PIERRE-ET-MIQUELON;ST-PIERRE;2;47;-56;-4.00 
175;SUEDE;STOCKHOLM;11;59;18;1.00 
176;SUISSE;BERNE;569;47;9;1.00 
177;SURINAME;PARAMARIBO;4;6;-55;-3.30 
178;SWAZILAND;MBABANE;641;-26;32;2.00 
179;SYRIE;DAMAS;729;33;36;2.00 
180;TANZANIE;DAR-ES-SALAM;58;-7;39;3.00 
181;TCHAD;N'DJAMENA;295;12;15;1.00 
182;TCHECOSLOVAQUIE;PRAGUE;374;50;14;1.00 
183;THAILANDE;BANGKOK;12;14;101;7.00 
184;TOGO;LOME;22;6;1;0.00 
185;TOKELAU;NUKUNONU;2;-9;-171;-11.00 
186;TONGA;NUKU ALOFA;67;-20;-175;-11.00 
187;TRINITE-ET-TOBAGO;PORT OF SPAIN;14;11;-61;-5.00 
188;TUNISIE;TUNIS;4;37;10;0.00 
189;TURKS-CAICOS;COCKBURN TOWN;2;22;-71;-5.00 
190;TURQUIE;ANKARA;894;40;33;2.00 
191;TUVALU;FUNAFUTI;3;-8;180;12.00 
192;U.R.S.S.;MOSCOU;156;56;38;3.00 
193;URUGUAY;MONTEVIDEO;22;-35;-56;-3.00 
194;VANUATU;VILA;2;-17;167;11.00 
195;VATICAN;CITE DU VATICAN;50;42;12;1.00 
196;VENEZUELA;CARACAS;865;11;-67;-4.00 
197;VIETNAM;HANOI;17;26;106;7.00 
198;WALLIS-ET-FUTUNA;MATA-UTU;2;-14;-177;12.00 
199;YEMEN;SANAA;2242;15;-44;3.00 
200;YOUGOSLAVIE;BELGRADE;132;45;20;1.00 
201;ZAIRE;KINSHASA;309;-4;15;1.00 
202;ZAMBIE;LUSAKA;1277;-15;29;2.00 
203;ZIMBABWE;HARARE;1479;-18;31;2.00 
